;WT;RIC;EBV_d2;EBV_d4;EBV_d7;EBV_d14
GOBP_ENSHEATHMENT_OF_NEURONS;0;1;0;0;0;0
GOBP_ENTRY_INTO_HOST;1;0;1;1;1;1
GOBP_EOSINOPHIL_CHEMOTAXIS;0;0;0;0;1;1
GOBP_EOSINOPHIL_MIGRATION;0;0;0;0;1;1
GOBP_EPIBOLY;0;0;0;0;1;0
GOBP_EPITHELIAL_CELL_DIFFERENTIATION;0;1;0;0;0;0
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS;0;1;0;0;0;0
GOBP_ERK1_AND_ERK2_CASCADE;1;1;0;0;1;1
GOBP_ERYTHROCYTE_HOMEOSTASIS;1;0;0;0;0;0
GOBP_ESTABLISHMENT_OF_CELL_POLARITY;0;1;0;0;0;0
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION;0;1;1;1;1;1
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION;0;0;1;1;1;1
GOBP_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION;0;1;0;0;0;0
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME;1;0;1;1;0;0
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE;0;0;1;1;1;1
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE;0;0;1;0;0;0
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE;1;0;1;1;0;0
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION;0;0;1;0;0;0
GOBP_ESTABLISHMENT_OF_SPINDLE_ORIENTATION;0;1;0;1;0;0
GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY;0;1;0;0;0;0
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY;0;1;0;0;0;0
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY;0;1;0;1;1;1
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY;0;1;0;0;0;0
GOBP_EXCITATORY_SYNAPSE_ASSEMBLY;0;0;0;0;0;1
GOBP_EXIT_FROM_MITOSIS;1;0;0;0;0;1
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT;0;1;0;0;0;0
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION;0;1;0;0;0;0
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY;1;1;0;0;0;0
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY;1;1;0;0;1;1
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS;1;1;0;0;0;0
GOBP_FAT_CELL_DIFFERENTIATION;1;1;0;0;0;0
GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS;0;0;0;0;1;0
GOBP_FATTY_ACID_BETA_OXIDATION;0;0;1;1;1;1
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS;1;1;1;1;1;1
GOBP_FATTY_ACID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS;0;0;1;1;1;1
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_FATTY_ACID_METABOLIC_PROCESS;0;1;1;1;1;1
GOBP_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS;0;0;1;1;1;1
GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY;1;1;0;0;0;0
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY;0;1;0;0;0;0
GOBP_FC_RECEPTOR_SIGNALING_PATHWAY;1;0;0;0;0;0
GOBP_FEMALE_GAMETE_GENERATION;0;0;0;0;1;0
GOBP_FEMALE_GENITALIA_DEVELOPMENT;0;0;0;0;0;1
GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION;1;1;1;1;1;1
GOBP_FEMALE_SEX_DIFFERENTIATION;1;1;0;0;0;0
GOBP_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY;0;1;0;0;0;0
GOBP_FIBROBLAST_PROLIFERATION;1;1;0;0;1;1
GOBP_FOAM_CELL_DIFFERENTIATION;0;1;0;0;0;0
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS;0;1;1;1;1;1
GOBP_FOLIC_ACID_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_FOREBRAIN_DEVELOPMENT;1;1;0;0;0;0
GOBP_FOREBRAIN_GENERATION_OF_NEURONS;0;1;0;0;0;0
GOBP_FOREBRAIN_NEURON_DIFFERENTIATION;0;1;0;0;0;0
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA;0;0;1;0;0;0
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY;1;0;1;1;1;1
GOBP_GLAND_DEVELOPMENT;1;1;0;0;0;0
GOBP_GLAND_MORPHOGENESIS;0;1;0;0;0;0
GOBP_GLIAL_CELL_DIFFERENTIATION;0;1;0;0;0;0
GOBP_GLIAL_CELL_MIGRATION;1;1;0;0;0;0
GOBP_GLIAL_CELL_PROLIFERATION;1;1;0;0;0;0
GOBP_GLIOGENESIS;1;1;0;0;0;0
GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS;0;1;0;0;1;1
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS;0;0;1;0;1;0
GOBP_GLUCOSE_CATABOLIC_PROCESS;0;0;1;1;0;0
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS;0;0;1;1;1;1
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS;1;1;1;1;1;1
GOBP_GLUTAMINE_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_GLUTATHIONE_METABOLIC_PROCESS;1;1;1;1;1;1
GOBP_GLYCEROLIPID_CATABOLIC_PROCESS;1;1;0;0;0;0
GOBP_GLYCINE_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS;0;1;0;0;0;0
GOBP_GLYCOSYL_COMPOUND_CATABOLIC_PROCESS;0;0;0;1;1;1
GOBP_GLYCOSYL_COMPOUND_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_GMP_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_GOLGI_VESICLE_TRANSPORT;0;0;0;0;0;1
GOBP_GRANULOCYTE_ACTIVATION;1;0;1;1;1;1
GOBP_GRANULOCYTE_CHEMOTAXIS;1;0;1;1;1;1
GOBP_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION;0;0;0;0;1;1
GOBP_GRANULOCYTE_MIGRATION;1;0;1;1;1;1
GOBP_GTP_METABOLIC_PROCESS;1;0;1;1;1;1
GOBP_HEAD_DEVELOPMENT;0;1;0;0;0;0
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION;0;1;0;0;1;1
GOBP_HEMOSTASIS;1;1;0;0;1;0
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS;0;1;0;0;0;0
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES;0;1;0;0;0;0
GOBP_HETEROTYPIC_CELL_CELL_ADHESION;0;1;0;0;0;0
GOBP_HIPPO_SIGNALING;0;0;1;0;0;0
GOBP_HIPPOCAMPUS_DEVELOPMENT;0;1;0;0;0;0
GOBP_HISTONE_EXCHANGE;0;0;1;1;1;1
GOBP_HISTONE_MONOUBIQUITINATION;0;0;1;1;0;0
GOBP_HISTONE_MRNA_METABOLIC_PROCESS;0;0;1;0;0;0
GOBP_HISTONE_PHOSPHORYLATION;0;0;1;1;1;1
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS_WITHIN_A_TISSUE;0;0;0;0;1;1
GOBP_HOMOLOGOUS_RECOMBINATION;0;1;1;1;1;1
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES;0;1;0;0;0;0
GOBP_HOMOTYPIC_CELL_CELL_ADHESION;1;0;0;0;0;0
GOBP_HUMORAL_IMMUNE_RESPONSE;0;0;0;0;1;1
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN;0;0;0;0;0;1
GOBP_HYALURONAN_METABOLIC_PROCESS;0;1;0;0;0;0
GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING;0;1;0;0;0;1
GOBP_I_KAPPAB_PHOSPHORYLATION;0;0;0;1;1;1
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS;0;1;0;0;0;0
GOBP_ICOSANOID_METABOLIC_PROCESS;1;1;0;0;0;1
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY;0;0;0;0;0;1
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY;0;0;0;0;0;1
GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL;0;0;0;1;1;1
GOBP_IMMUNOGLOBULIN_PRODUCTION;0;0;0;0;1;1
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE;0;0;0;0;1;0
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION;0;0;0;0;1;1
GOBP_IMP_METABOLIC_PROCESS;0;1;0;0;0;0
GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS;0;0;0;0;1;1
GOBP_INFLAMMATORY_RESPONSE;0;1;0;0;0;0
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS;0;0;0;0;0;1
GOBP_INNER_EAR_MORPHOGENESIS;0;1;0;0;0;0
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION;0;0;1;1;1;1
GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS;0;0;0;1;1;1
GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS;0;0;1;1;0;0
GOBP_INTEGRIN_ACTIVATION;1;0;0;0;0;0
GOBP_INTERFERON_ALPHA_PRODUCTION;0;0;1;1;0;1
GOBP_INTERFERON_BETA_PRODUCTION;0;0;1;1;1;1
GOBP_INTERFERON_GAMMA_PRODUCTION;0;0;0;1;1;1
GOBP_INTERLEUKIN_10_PRODUCTION;0;0;1;0;1;1
GOBP_INTERLEUKIN_12_PRODUCTION;0;0;0;0;0;1
GOBP_INTERLEUKIN_13_PRODUCTION;0;0;1;1;1;1
GOBP_INTERLEUKIN_2_PRODUCTION;0;0;0;0;1;1
GOBP_INTERLEUKIN_6_PRODUCTION;0;1;0;0;0;1
GOBP_INTERSTRAND_CROSS_LINK_REPAIR;0;0;1;1;1;1
GOBP_INTRACELLULAR_PROTEIN_TRANSMEMBRANE_TRANSPORT;1;0;1;0;0;0
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY;0;1;0;0;0;0
GOBP_INTRACILIARY_TRANSPORT;1;0;0;0;0;0
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY;1;1;1;1;1;1
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR;1;0;1;1;1;0
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE;1;1;1;1;1;1
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR;1;0;0;0;0;0
GOBP_IRON_ION_HOMEOSTASIS;0;1;0;0;0;1
GOBP_IRON_ION_TRANSMEMBRANE_TRANSPORT;0;1;0;0;0;0
GOBP_IRON_SULFUR_CLUSTER_ASSEMBLY;1;0;1;0;0;0
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS;0;0;1;1;1;1
GOBP_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES;0;0;1;0;0;0
GOBP_KERATINIZATION;0;0;1;0;1;1
GOBP_KERATINOCYTE_DIFFERENTIATION;0;0;0;0;1;1
GOBP_KIDNEY_MORPHOGENESIS;0;1;0;0;0;0
GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM;0;0;0;0;1;1
GOBP_KINETOCHORE_ASSEMBLY;1;1;1;1;1;1
GOBP_KINETOCHORE_ORGANIZATION;1;1;1;1;1;1
GOBP_LACTATION;0;0;1;1;1;0
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE;0;0;0;0;0;1
GOBP_LENS_FIBER_CELL_DIFFERENTIATION;0;0;0;1;0;0
GOBP_LEUKOCYTE_APOPTOTIC_PROCESS;0;0;0;1;1;1
GOBP_LEUKOCYTE_CELL_CELL_ADHESION;1;0;0;1;1;1
GOBP_LEUKOCYTE_CHEMOTAXIS;1;1;0;0;1;1
GOBP_LEUKOCYTE_DEGRANULATION;0;1;0;0;0;0
GOBP_LEUKOCYTE_DIFFERENTIATION;1;1;0;0;0;0
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY;0;0;0;0;1;1
GOBP_LEUKOCYTE_MIGRATION;1;1;0;1;1;1
GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE;0;0;0;0;0;1
GOBP_LEUKOCYTE_PROLIFERATION;1;0;0;1;1;1
GOBP_LEUKOCYTE_TETHERING_OR_ROLLING;0;0;0;1;1;1
GOBP_LIMBIC_SYSTEM_DEVELOPMENT;1;1;0;0;0;0
GOBP_LIPID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_LIPID_EXPORT_FROM_CELL;1;0;0;0;0;0
GOBP_LIPID_HOMEOSTASIS;1;1;0;0;0;0
GOBP_LIPID_LOCALIZATION;0;1;0;0;0;0
GOBP_LIPID_OXIDATION;0;0;1;1;1;1
GOBP_LIPID_STORAGE;0;1;0;0;0;0
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY;1;0;0;0;1;1
GOBP_LIVER_REGENERATION;1;0;0;0;0;0
GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS;0;0;0;1;0;1
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS;1;0;1;1;1;1
GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS;0;0;1;1;1;1
GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_LONG_TERM_MEMORY;0;1;0;0;0;0
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE;0;1;0;1;0;1
GOBP_LUNG_ALVEOLUS_DEVELOPMENT;0;1;0;0;0;0
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE;0;0;0;1;1;1
GOBP_LYMPHOCYTE_APOPTOTIC_PROCESS;0;0;0;0;0;1
GOBP_LYMPHOCYTE_CHEMOTAXIS;1;1;1;1;1;1
GOBP_LYMPHOCYTE_COSTIMULATION;1;0;0;1;1;1
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY;0;0;0;0;1;1
GOBP_LYMPHOCYTE_MIGRATION;1;0;1;1;1;1
GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION;1;1;0;0;0;0
GOBP_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS;0;0;0;0;1;1
GOBP_MACROPHAGE_ACTIVATION;0;1;0;0;0;0
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE;0;0;0;0;0;1
GOBP_MACROPHAGE_CHEMOTAXIS;0;1;0;0;0;0
GOBP_MACROPHAGE_DIFFERENTIATION;1;1;0;0;0;0
GOBP_MACROPHAGE_MIGRATION;1;1;0;0;1;1
GOBP_MAINTENANCE_OF_CELL_POLARITY;0;0;1;0;0;1
GOBP_MAINTENANCE_OF_LOCATION_IN_CELL;0;0;0;0;1;1
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION;0;0;0;0;0;1
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL;0;0;0;1;1;1
GOBP_MAMMARY_GLAND_DEVELOPMENT;0;1;0;0;0;0
GOBP_MAMMARY_GLAND_DUCT_MORPHOGENESIS;0;1;0;0;0;0
GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT;0;1;0;0;0;0
GOBP_MAMMARY_GLAND_MORPHOGENESIS;0;1;0;0;0;0
GOBP_MAPK_CASCADE;0;1;0;0;0;0
GOBP_MAST_CELL_ACTIVATION;0;1;0;0;0;0
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE;0;1;0;0;0;0
GOBP_MATURATION_OF_5_8S_RRNA;0;0;1;1;1;1
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA;0;0;1;1;1;0
GOBP_MATURATION_OF_LSU_RRNA;1;0;1;1;0;0
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA;1;0;0;0;0;0
GOBP_MATURATION_OF_SSU_RRNA;1;0;1;1;0;1
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA;1;0;1;1;0;0
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS;1;1;1;1;1;0
GOBP_MEIOTIC_CELL_CYCLE;0;1;1;1;1;1
GOBP_MEIOTIC_CELL_CYCLE_PROCESS;1;1;1;1;1;1
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION;0;1;1;1;1;0
GOBP_MEIOTIC_CHROMOSOME_SEPARATION;0;1;1;1;1;1
GOBP_MEIOTIC_SPINDLE_ORGANIZATION;0;0;1;1;1;1
GOBP_MEMBRANE_BIOGENESIS;0;0;0;0;0;1
GOBP_MEMBRANE_INVAGINATION;0;0;0;0;0;1
GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS;0;0;0;0;1;0
GOBP_MEMORY;0;1;0;0;0;0
GOBP_MESENCHYMAL_CELL_DEVELOPMENT;0;1;0;0;0;0
GOBP_MESONEPHROS_DEVELOPMENT;0;1;0;0;0;0
GOBP_METAL_ION_EXPORT;0;1;0;0;0;0
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE;1;1;1;1;1;1
GOBP_METAPHASE_PLATE_CONGRESSION;1;1;1;1;1;1
GOBP_MICROGLIAL_CELL_ACTIVATION;0;1;0;0;0;0
GOBP_MICROTUBULE_BASED_TRANSPORT;0;1;0;0;0;0
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION;0;1;0;0;0;0
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS;1;1;1;1;1;1
GOBP_MICROTUBULE_DEPOLYMERIZATION;0;0;1;1;1;1
GOBP_MICROTUBULE_NUCLEATION;0;0;0;0;0;1
GOBP_MICROTUBULE_ORGANIZING_CENTER_LOCALIZATION;0;0;1;1;1;1
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION;0;1;1;1;1;1
GOBP_MICROTUBULE_POLYMERIZATION;0;0;1;1;1;1
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION;0;0;1;1;1;1
GOBP_MIDBODY_ABSCISSION;1;0;0;0;0;0
GOBP_MISMATCH_REPAIR;0;0;1;1;1;1
GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT;1;0;1;1;1;1
GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS;0;0;0;0;0;1
GOBP_MITOCHONDRIAL_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT;0;0;0;1;1;1
GOBP_MITOCHONDRIAL_CYTOCHROME_C_OXIDASE_ASSEMBLY;0;0;1;1;0;1
GOBP_MITOCHONDRIAL_DNA_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_MITOCHONDRIAL_DNA_REPLICATION;0;0;1;1;1;0
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE;1;0;1;1;1;1
GOBP_MITOCHONDRIAL_FUSION;0;1;0;0;0;0
GOBP_MITOCHONDRIAL_GENE_EXPRESSION;1;0;1;1;1;1
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE;0;0;1;1;1;1
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION;1;1;1;1;1;1
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION;0;0;1;0;0;0
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_PROGRAMMED_CELL_DEATH;1;0;1;0;0;0
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY;1;0;1;1;1;1
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS;1;0;1;1;0;1
GOBP_MITOCHONDRIAL_RNA_PROCESSING;0;0;1;1;0;0
GOBP_MITOCHONDRIAL_TRANSCRIPTION;0;0;1;0;0;0
GOBP_MITOCHONDRIAL_TRANSLATION;1;0;1;1;1;1
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT;0;0;1;1;1;1
GOBP_MITOCHONDRIAL_TRANSPORT;1;0;1;1;1;1
GOBP_MITOCHONDRION_ORGANIZATION;1;0;0;0;0;0
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING;1;1;1;1;1;1
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION;1;1;1;1;1;1
GOBP_MITOTIC_CHROMOSOME_CONDENSATION;1;1;1;1;1;1
GOBP_MITOTIC_CYTOKINESIS;1;1;1;1;1;1
GOBP_MITOTIC_CYTOKINETIC_PROCESS;1;0;0;0;0;0
GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING;0;0;1;1;1;1
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING;1;0;1;0;0;1
GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT;0;0;1;1;1;1
GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION;1;0;1;1;1;1
GOBP_MITOTIC_NUCLEAR_DIVISION;1;1;1;1;1;1
GOBP_MITOTIC_RECOMBINATION;0;0;1;1;1;1
GOBP_MITOTIC_SISTER_CHROMATID_COHESION;0;0;1;1;1;1
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;1;1;1;1;1;1
GOBP_MITOTIC_SPINDLE_ASSEMBLY;1;1;1;1;1;1
GOBP_MITOTIC_SPINDLE_ORGANIZATION;1;1;1;1;1;1
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS;1;1;0;0;0;0
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL;0;1;0;0;0;0
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM;0;0;0;0;1;1
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS;1;1;1;1;1;1
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_MONOCYTE_CHEMOTAXIS;1;1;1;1;1;1
GOBP_MONOCYTE_DIFFERENTIATION;0;1;0;0;0;0
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION;1;1;0;0;0;0
GOBP_MONONUCLEAR_CELL_MIGRATION;1;0;1;1;1;1
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS;1;0;0;0;0;0
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE;0;1;0;0;0;0
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM;0;1;0;0;0;0
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET;0;1;0;0;1;0
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM;0;1;0;0;0;0
GOBP_MRNA_3_END_PROCESSING;0;0;1;0;0;0
GOBP_MRNA_PROCESSING;0;0;1;0;0;0
GOBP_MRNA_TRANSCRIPTION;1;0;0;0;0;0
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS;0;1;0;0;0;0
GOBP_MUSCLE_ADAPTATION;0;1;0;0;0;0
GOBP_MUSCLE_CELL_DIFFERENTIATION;0;1;0;0;1;0
GOBP_MUSCLE_CELL_MIGRATION;1;1;0;0;1;1
GOBP_MUSCLE_CELL_PROLIFERATION;0;1;0;0;0;0
GOBP_MUSCLE_HYPERTROPHY;0;1;0;0;0;0
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT;0;1;0;0;0;0
GOBP_MYELIN_ASSEMBLY;0;1;0;0;0;0
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE;0;1;0;0;1;1
GOBP_MYELOID_CELL_DIFFERENTIATION;1;1;0;0;0;0
GOBP_MYELOID_CELL_HOMEOSTASIS;1;0;0;0;0;0
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION;0;0;0;1;1;1
GOBP_MYELOID_DENDRITIC_CELL_DIFFERENTIATION;0;0;1;1;1;1
GOBP_MYELOID_LEUKOCYTE_ACTIVATION;1;1;0;1;1;1
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION;1;1;0;0;1;1
GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY;0;1;0;0;0;0
GOBP_MYELOID_LEUKOCYTE_MIGRATION;1;1;1;1;1;1
GOBP_MYOBLAST_DIFFERENTIATION;0;0;0;0;1;1
GOBP_MYOBLAST_FUSION;0;1;0;0;0;0
GOBP_MYOTUBE_DIFFERENTIATION;1;1;0;0;0;0
GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS;0;0;0;0;0;1
GOBP_NAD_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY;1;0;1;1;1;1
GOBP_NADH_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_NADP_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_NADPH_REGENERATION;0;0;1;0;0;0
GOBP_NATURAL_KILLER_CELL_ACTIVATION;0;0;0;0;1;1
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE;0;0;0;1;1;1
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY;1;1;0;0;1;1
GOBP_NCRNA_3_END_PROCESSING;0;0;1;1;0;1
GOBP_NCRNA_METABOLIC_PROCESS;1;0;0;0;0;0
GOBP_NCRNA_PROCESSING;1;0;1;1;1;1
GOBP_NCRNA_TRANSCRIPTION;0;0;1;1;0;1
GOBP_NEGATIVE_CHEMOTAXIS;1;1;0;0;0;0
