;WT;RIC;EBV_d2;EBV_d4;EBV_d7;EBV_d14
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY;0;0;0;0;1;1
GOBP_BASE_EXCISION_REPAIR;0;0;1;1;0;0
GOBP_BEHAVIOR;0;1;0;0;0;0
GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS;0;0;0;1;1;1
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA;1;0;0;0;0;0
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST;1;0;1;1;1;1
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT;0;1;0;0;0;0
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS;0;1;0;0;0;0
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;1;0;1;1;1;1
GOBP_BLASTOCYST_GROWTH;0;0;1;1;1;1
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION;0;1;0;0;0;0
GOBP_BLOOD_VESSEL_MORPHOGENESIS;0;1;0;0;0;0
GOBP_BLOOD_VESSEL_REMODELING;0;0;0;0;1;0
GOBP_BODY_FLUID_SECRETION;0;1;0;0;0;0
GOBP_BONE_CELL_DEVELOPMENT;1;1;0;0;0;0
GOBP_BONE_MORPHOGENESIS;0;1;0;0;0;0
GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS;0;1;1;1;1;1
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS;0;1;0;0;0;0
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;0;1;0;0;0;0
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS;0;0;0;0;0;1
GOBP_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL;0;0;0;0;1;0
GOBP_CALCIUM_MEDIATED_SIGNALING;0;0;0;0;1;0
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS;0;0;0;0;1;1
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT;0;0;0;0;0;1
GOBP_CARBOHYDRATE_PHOSPHORYLATION;0;0;0;0;1;0
GOBP_CARDIAC_CELL_DEVELOPMENT;0;0;0;0;0;1
GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION;0;0;0;0;1;0
GOBP_CARDIAC_SEPTUM_DEVELOPMENT;0;1;0;0;0;0
GOBP_CARDIAC_SEPTUM_MORPHOGENESIS;0;1;0;0;0;0
GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS;0;0;0;0;1;0
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION;0;0;0;0;0;1
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE;0;0;0;1;1;1
GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN;0;0;0;0;1;1
GOBP_CELL_CELL_ADHESION;1;1;0;0;0;0
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN;0;0;0;0;1;1
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES;0;1;0;0;0;0
GOBP_CELL_CELL_JUNCTION_ASSEMBLY;0;1;0;0;0;0
GOBP_CELL_CELL_JUNCTION_ORGANIZATION;1;1;0;0;0;0
GOBP_CELL_CELL_RECOGNITION;1;0;0;0;1;0
GOBP_CELL_CHEMOTAXIS;1;1;0;1;1;1
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING;1;1;1;1;1;1
GOBP_CELL_CYCLE_DNA_REPLICATION;1;1;1;1;1;1
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION;1;1;1;1;1;1
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION;1;1;1;1;1;1
GOBP_CELL_CYCLE_PHASE_TRANSITION;1;1;0;0;0;0
GOBP_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS;0;1;0;0;0;1
GOBP_CELL_FATE_COMMITMENT;0;1;0;0;0;0
GOBP_CELL_GROWTH;0;1;0;0;0;0
GOBP_CELL_JUNCTION_ASSEMBLY;0;1;0;0;0;0
GOBP_CELL_JUNCTION_DISASSEMBLY;0;1;0;0;0;0
GOBP_CELL_JUNCTION_MAINTENANCE;0;1;0;0;0;0
GOBP_CELL_JUNCTION_ORGANIZATION;0;1;0;0;0;0
GOBP_CELL_KILLING;0;0;0;0;1;1
GOBP_CELL_MATRIX_ADHESION;0;1;0;0;1;0
GOBP_CELL_MATURATION;0;1;0;0;0;0
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS;0;1;0;0;0;0
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION;0;1;0;0;0;0
GOBP_CELL_PART_MORPHOGENESIS;0;1;0;0;0;0
GOBP_CELL_RECOGNITION;0;1;0;0;0;1
GOBP_CELL_REDOX_HOMEOSTASIS;1;1;1;1;0;0
GOBP_CELL_SUBSTRATE_ADHESION;0;1;0;0;0;0
